rankid training region idx f0 policy xtime
0 RoundRobin matvec_std::operator() 0 8.11827e+07 0 0.0123302
0 RoundRobin matvec_std::operator() 1 8.11827e+07 1 0.491218
0 RoundRobin matvec_std::operator() 2 8.11827e+07 0 0.0128837
0 RoundRobin matvec_std::operator() 3 8.11827e+07 1 0.506101
0 RoundRobin matvec_std::operator() 4 8.11827e+07 0 0.0129056
0 RoundRobin matvec_std::operator() 5 8.11827e+07 1 0.489874
0 RoundRobin matvec_std::operator() 6 8.11827e+07 0 0.0130415
0 RoundRobin matvec_std::operator() 7 8.11827e+07 1 0.487847
0 RoundRobin matvec_std::operator() 8 8.11827e+07 0 0.0128747
0 RoundRobin matvec_std::operator() 9 8.11827e+07 1 0.480778
0 RoundRobin matvec_std::operator() 10 8.11827e+07 0 0.013041
0 RoundRobin matvec_std::operator() 11 8.11827e+07 1 0.494057
0 RoundRobin matvec_std::operator() 12 8.11827e+07 0 0.0130876
0 RoundRobin matvec_std::operator() 13 8.11827e+07 1 0.489497
0 RoundRobin matvec_std::operator() 14 8.11827e+07 0 0.0131266
0 RoundRobin matvec_std::operator() 15 8.11827e+07 1 0.477221
0 RoundRobin matvec_std::operator() 16 8.11827e+07 0 0.0127076
0 RoundRobin matvec_std::operator() 17 8.11827e+07 1 0.480345
0 RoundRobin matvec_std::operator() 18 8.11827e+07 0 0.0126948
0 RoundRobin matvec_std::operator() 19 8.11827e+07 1 0.493759
0 RoundRobin matvec_std::operator() 20 8.11827e+07 0 0.0128332
0 RoundRobin matvec_std::operator() 21 8.11827e+07 1 0.469354
0 RoundRobin matvec_std::operator() 22 8.11827e+07 0 0.0128312
0 RoundRobin matvec_std::operator() 23 8.11827e+07 1 0.506575
0 RoundRobin matvec_std::operator() 24 8.11827e+07 0 0.0128451
0 RoundRobin matvec_std::operator() 25 8.11827e+07 1 0.50179
0 RoundRobin matvec_std::operator() 26 8.11827e+07 0 0.0130276
0 RoundRobin matvec_std::operator() 27 8.11827e+07 1 0.467301
0 RoundRobin matvec_std::operator() 28 8.11827e+07 0 0.0128764
0 RoundRobin matvec_std::operator() 29 8.11827e+07 1 0.476652
0 RoundRobin matvec_std::operator() 30 8.11827e+07 0 0.0130062
0 RoundRobin matvec_std::operator() 31 8.11827e+07 1 0.482329
0 RoundRobin matvec_std::operator() 32 8.11827e+07 0 0.0128349
0 RoundRobin matvec_std::operator() 33 8.11827e+07 1 0.475233
0 RoundRobin matvec_std::operator() 34 8.11827e+07 0 0.0129971
0 RoundRobin matvec_std::operator() 35 8.11827e+07 1 0.497233
0 RoundRobin matvec_std::operator() 36 8.11827e+07 0 0.0128856
0 RoundRobin matvec_std::operator() 37 8.11827e+07 1 0.475468
0 RoundRobin matvec_std::operator() 38 8.11827e+07 0 0.0127913
0 RoundRobin matvec_std::operator() 39 8.11827e+07 1 0.506204
0 RoundRobin matvec_std::operator() 40 8.11827e+07 0 0.0129377
0 RoundRobin matvec_std::operator() 41 8.11827e+07 1 0.479673
0 RoundRobin matvec_std::operator() 42 8.11827e+07 0 0.0129877
0 RoundRobin matvec_std::operator() 43 8.11827e+07 1 0.487499
0 RoundRobin matvec_std::operator() 44 8.11827e+07 0 0.0132451
0 RoundRobin matvec_std::operator() 45 8.11827e+07 1 0.492144
0 RoundRobin matvec_std::operator() 46 8.11827e+07 0 0.0130899
0 RoundRobin matvec_std::operator() 47 8.11827e+07 1 0.495609
0 RoundRobin matvec_std::operator() 48 8.11827e+07 0 0.0131802
0 RoundRobin matvec_std::operator() 49 8.11827e+07 1 0.469515
0 RoundRobin matvec_std::operator() 50 8.11827e+07 0 0.0132154
0 RoundRobin matvec_std::operator() 51 8.11827e+07 1 0.497429
0 RoundRobin matvec_std::operator() 52 8.11827e+07 0 0.0131089
0 RoundRobin matvec_std::operator() 53 8.11827e+07 1 0.48679
0 RoundRobin matvec_std::operator() 54 8.11827e+07 0 0.0129968
0 RoundRobin matvec_std::operator() 55 8.11827e+07 1 0.499588
0 RoundRobin matvec_std::operator() 56 8.11827e+07 0 0.0129848
0 RoundRobin matvec_std::operator() 57 8.11827e+07 1 0.495384
0 RoundRobin matvec_std::operator() 58 8.11827e+07 0 0.0129813
0 RoundRobin matvec_std::operator() 59 8.11827e+07 1 0.501
0 RoundRobin matvec_std::operator() 60 8.11827e+07 0 0.0131644
0 RoundRobin matvec_std::operator() 61 8.11827e+07 1 0.476679
0 RoundRobin matvec_std::operator() 62 8.11827e+07 0 0.0132188
0 RoundRobin matvec_std::operator() 63 8.11827e+07 1 0.494541
0 RoundRobin matvec_std::operator() 64 8.11827e+07 0 0.0132703
0 RoundRobin matvec_std::operator() 65 8.11827e+07 1 0.46264
0 RoundRobin matvec_std::operator() 66 8.11827e+07 0 0.013212
0 RoundRobin matvec_std::operator() 67 8.11827e+07 1 0.452176
0 RoundRobin matvec_std::operator() 68 8.11827e+07 0 0.013155
0 RoundRobin matvec_std::operator() 69 8.11827e+07 1 0.479064
