rankid training region idx f0 policy xtime
0 RoundRobin matvec_std::operator() 0 1.921e+08 0 0.0350208
0 RoundRobin matvec_std::operator() 1 1.921e+08 1 1.3374
0 RoundRobin matvec_std::operator() 2 1.921e+08 0 0.0350595
0 RoundRobin matvec_std::operator() 3 1.921e+08 1 1.31893
0 RoundRobin matvec_std::operator() 4 1.921e+08 0 0.0496572
0 RoundRobin matvec_std::operator() 5 1.921e+08 1 1.25948
0 RoundRobin matvec_std::operator() 6 1.921e+08 0 0.0323846
0 RoundRobin matvec_std::operator() 7 1.921e+08 1 1.22381
0 RoundRobin matvec_std::operator() 8 1.921e+08 0 0.0331785
0 RoundRobin matvec_std::operator() 9 1.921e+08 1 1.21487
0 RoundRobin matvec_std::operator() 10 1.921e+08 0 0.0319722
0 RoundRobin matvec_std::operator() 11 1.921e+08 1 1.21717
0 RoundRobin matvec_std::operator() 12 1.921e+08 0 0.0320518
0 RoundRobin matvec_std::operator() 13 1.921e+08 1 1.2307
0 RoundRobin matvec_std::operator() 14 1.921e+08 0 0.0318443
0 RoundRobin matvec_std::operator() 15 1.921e+08 1 1.21634
0 RoundRobin matvec_std::operator() 16 1.921e+08 0 0.0493725
0 RoundRobin matvec_std::operator() 17 1.921e+08 1 1.1689
0 RoundRobin matvec_std::operator() 18 1.921e+08 0 0.0294145
0 RoundRobin matvec_std::operator() 19 1.921e+08 1 1.12945
0 RoundRobin matvec_std::operator() 20 1.921e+08 0 0.0290748
0 RoundRobin matvec_std::operator() 21 1.921e+08 1 1.13343
0 RoundRobin matvec_std::operator() 22 1.921e+08 0 0.0290634
0 RoundRobin matvec_std::operator() 23 1.921e+08 1 1.13354
0 RoundRobin matvec_std::operator() 24 1.921e+08 0 0.0292974
0 RoundRobin matvec_std::operator() 25 1.921e+08 1 1.12884
0 RoundRobin matvec_std::operator() 26 1.921e+08 0 0.0291086
0 RoundRobin matvec_std::operator() 27 1.921e+08 1 1.13001
0 RoundRobin matvec_std::operator() 28 1.921e+08 0 0.0292009
0 RoundRobin matvec_std::operator() 29 1.921e+08 1 1.17869
0 RoundRobin matvec_std::operator() 30 1.921e+08 0 0.0292169
0 RoundRobin matvec_std::operator() 31 1.921e+08 1 1.12219
0 RoundRobin matvec_std::operator() 32 1.921e+08 0 0.0316256
0 RoundRobin matvec_std::operator() 33 1.921e+08 1 1.0956
0 RoundRobin matvec_std::operator() 34 1.921e+08 0 0.0278031
0 RoundRobin matvec_std::operator() 35 1.921e+08 1 1.09639
0 RoundRobin matvec_std::operator() 36 1.921e+08 0 0.0278068
0 RoundRobin matvec_std::operator() 37 1.921e+08 1 1.09045
0 RoundRobin matvec_std::operator() 38 1.921e+08 0 0.0273893
0 RoundRobin matvec_std::operator() 39 1.921e+08 1 1.09486
0 RoundRobin matvec_std::operator() 40 1.921e+08 0 0.0275442
0 RoundRobin matvec_std::operator() 41 1.921e+08 1 1.09186
0 RoundRobin matvec_std::operator() 42 1.921e+08 0 0.0280257
0 RoundRobin matvec_std::operator() 43 1.921e+08 1 1.08828
0 RoundRobin matvec_std::operator() 44 1.921e+08 0 0.0275201
0 RoundRobin matvec_std::operator() 45 1.921e+08 1 1.09228
0 RoundRobin matvec_std::operator() 46 1.921e+08 0 0.0276837
0 RoundRobin matvec_std::operator() 47 1.921e+08 1 1.08686
0 RoundRobin matvec_std::operator() 48 1.921e+08 0 0.0277969
0 RoundRobin matvec_std::operator() 49 1.921e+08 1 1.08871
0 RoundRobin matvec_std::operator() 50 1.921e+08 0 0.027759
0 RoundRobin matvec_std::operator() 51 1.921e+08 1 1.1355
0 RoundRobin matvec_std::operator() 52 1.921e+08 0 0.0277656
0 RoundRobin matvec_std::operator() 53 1.921e+08 1 1.10458
0 RoundRobin matvec_std::operator() 54 1.921e+08 0 0.0277506
0 RoundRobin matvec_std::operator() 55 1.921e+08 1 1.11427
0 RoundRobin matvec_std::operator() 56 1.921e+08 0 0.0275084
0 RoundRobin matvec_std::operator() 57 1.921e+08 1 1.09153
0 RoundRobin matvec_std::operator() 58 1.921e+08 0 0.0276388
0 RoundRobin matvec_std::operator() 59 1.921e+08 1 1.09774
0 RoundRobin matvec_std::operator() 60 1.921e+08 0 0.0276665
0 RoundRobin matvec_std::operator() 61 1.921e+08 1 1.09071
0 RoundRobin matvec_std::operator() 62 1.921e+08 0 0.0282612
0 RoundRobin matvec_std::operator() 63 1.921e+08 1 1.08332
0 RoundRobin matvec_std::operator() 64 1.921e+08 0 0.0277184
0 RoundRobin matvec_std::operator() 65 1.921e+08 1 1.08913
0 RoundRobin matvec_std::operator() 66 1.921e+08 0 0.0275965
0 RoundRobin matvec_std::operator() 67 1.921e+08 1 1.09082
0 RoundRobin matvec_std::operator() 68 1.921e+08 0 0.027634
0 RoundRobin matvec_std::operator() 69 1.921e+08 1 1.08797
0 RoundRobin matvec_std::operator() 70 1.921e+08 0 0.0277604
0 RoundRobin matvec_std::operator() 71 1.921e+08 1 1.09029
0 RoundRobin matvec_std::operator() 72 1.921e+08 0 0.0281095
0 RoundRobin matvec_std::operator() 73 1.921e+08 1 1.0888
0 RoundRobin matvec_std::operator() 74 1.921e+08 0 0.0275671
0 RoundRobin matvec_std::operator() 75 1.921e+08 1 1.08901
0 RoundRobin matvec_std::operator() 76 1.921e+08 0 0.0282405
0 RoundRobin matvec_std::operator() 77 1.921e+08 1 1.0885
0 RoundRobin matvec_std::operator() 78 1.921e+08 0 0.0276493
0 RoundRobin matvec_std::operator() 79 1.921e+08 1 1.09609
0 RoundRobin matvec_std::operator() 80 1.921e+08 0 0.027944
0 RoundRobin matvec_std::operator() 81 1.921e+08 1 1.08829
0 RoundRobin matvec_std::operator() 82 1.921e+08 0 0.0275713
0 RoundRobin matvec_std::operator() 83 1.921e+08 1 1.0865
0 RoundRobin matvec_std::operator() 84 1.921e+08 0 0.0275882
0 RoundRobin matvec_std::operator() 85 1.921e+08 1 1.09069
0 RoundRobin matvec_std::operator() 86 1.921e+08 0 0.0282075
0 RoundRobin matvec_std::operator() 87 1.921e+08 1 1.0932
