rankid training region idx f0 policy xtime
0 RoundRobin matvec_std::operator() 0 7.18906e+06 0 0.000923415
0 RoundRobin matvec_std::operator() 1 7.18906e+06 1 0.0250504
0 RoundRobin matvec_std::operator() 2 7.18906e+06 0 0.000445559
0 RoundRobin matvec_std::operator() 3 7.18906e+06 1 0.0296251
0 RoundRobin matvec_std::operator() 4 7.18906e+06 0 0.00036739
0 RoundRobin matvec_std::operator() 5 7.18906e+06 1 0.028383
0 RoundRobin matvec_std::operator() 6 7.18906e+06 0 0.000338732
0 RoundRobin matvec_std::operator() 7 7.18906e+06 1 0.0302873
0 RoundRobin matvec_std::operator() 8 7.18906e+06 0 0.000322813
0 RoundRobin matvec_std::operator() 9 7.18906e+06 1 0.0294891
0 RoundRobin matvec_std::operator() 10 7.18906e+06 0 0.000340895
0 RoundRobin matvec_std::operator() 11 7.18906e+06 1 0.0296715
0 RoundRobin matvec_std::operator() 12 7.18906e+06 0 0.000345256
0 RoundRobin matvec_std::operator() 13 7.18906e+06 1 0.0291374
0 RoundRobin matvec_std::operator() 14 7.18906e+06 0 0.000330309
0 RoundRobin matvec_std::operator() 15 7.18906e+06 1 0.0302784
0 RoundRobin matvec_std::operator() 16 7.18906e+06 0 0.000345541
0 RoundRobin matvec_std::operator() 17 7.18906e+06 1 0.0290548
0 RoundRobin matvec_std::operator() 18 7.18906e+06 0 0.000319856
0 RoundRobin matvec_std::operator() 19 7.18906e+06 1 0.030107
0 RoundRobin matvec_std::operator() 20 7.18906e+06 0 0.000327718
0 RoundRobin matvec_std::operator() 21 7.18906e+06 1 0.0282043
0 RoundRobin matvec_std::operator() 22 7.18906e+06 0 0.000335841
0 RoundRobin matvec_std::operator() 23 7.18906e+06 1 0.0311121
0 RoundRobin matvec_std::operator() 24 7.18906e+06 0 0.00100229
0 RoundRobin matvec_std::operator() 25 7.18906e+06 1 0.0299495
0 RoundRobin matvec_std::operator() 26 7.18906e+06 0 0.000320953
0 RoundRobin matvec_std::operator() 27 7.18906e+06 1 0.0308725
0 RoundRobin matvec_std::operator() 28 7.18906e+06 0 0.000348967
0 RoundRobin matvec_std::operator() 29 7.18906e+06 1 0.0292191
0 RoundRobin matvec_std::operator() 30 7.18906e+06 0 0.000314595
0 RoundRobin matvec_std::operator() 31 7.18906e+06 1 0.0302925
0 RoundRobin matvec_std::operator() 32 7.18906e+06 0 0.000316171
0 RoundRobin matvec_std::operator() 33 7.18906e+06 1 0.0289713
0 RoundRobin matvec_std::operator() 34 7.18906e+06 0 0.000329054
0 RoundRobin matvec_std::operator() 35 7.18906e+06 1 0.0294565
0 RoundRobin matvec_std::operator() 36 7.18906e+06 0 0.000303221
0 RoundRobin matvec_std::operator() 37 7.18906e+06 1 0.0299512
0 RoundRobin matvec_std::operator() 38 7.18906e+06 0 0.000339613
0 RoundRobin matvec_std::operator() 39 7.18906e+06 1 0.0305852
0 RoundRobin matvec_std::operator() 40 7.18906e+06 0 0.00030146
0 RoundRobin matvec_std::operator() 41 7.18906e+06 1 0.0293639
0 RoundRobin matvec_std::operator() 42 7.18906e+06 0 0.000314346
0 RoundRobin matvec_std::operator() 43 7.18906e+06 1 0.0300316
0 RoundRobin matvec_std::operator() 44 7.18906e+06 0 0.000364943
0 RoundRobin matvec_std::operator() 45 7.18906e+06 1 0.0288835
0 RoundRobin matvec_std::operator() 46 7.18906e+06 0 0.000311489
0 RoundRobin matvec_std::operator() 47 7.18906e+06 1 0.030097
0 RoundRobin matvec_std::operator() 48 7.18906e+06 0 0.000320945
0 RoundRobin matvec_std::operator() 49 7.18906e+06 1 0.0290143
0 RoundRobin matvec_std::operator() 50 7.18906e+06 0 0.000344947
0 RoundRobin matvec_std::operator() 51 7.18906e+06 1 0.0288592
0 RoundRobin matvec_std::operator() 52 7.18906e+06 0 0.000368647
0 RoundRobin matvec_std::operator() 53 7.18906e+06 1 0.0290766
0 RoundRobin matvec_std::operator() 54 7.18906e+06 0 0.000316669
0 RoundRobin matvec_std::operator() 55 7.18906e+06 1 0.0293277
0 RoundRobin matvec_std::operator() 56 7.18906e+06 0 0.000319114
0 RoundRobin matvec_std::operator() 57 7.18906e+06 1 0.0287173
0 RoundRobin matvec_std::operator() 58 7.18906e+06 0 0.000325383
0 RoundRobin matvec_std::operator() 59 7.18906e+06 1 0.0303571
0 RoundRobin matvec_std::operator() 60 7.18906e+06 0 0.000319538
0 RoundRobin matvec_std::operator() 61 7.18906e+06 1 0.0296109
0 RoundRobin matvec_std::operator() 62 7.18906e+06 0 0.000348929
0 RoundRobin matvec_std::operator() 63 7.18906e+06 1 0.0287984
0 RoundRobin matvec_std::operator() 64 7.18906e+06 0 0.000312683
0 RoundRobin matvec_std::operator() 65 7.18906e+06 1 0.0287775
0 RoundRobin matvec_std::operator() 66 7.18906e+06 0 0.000348182
0 RoundRobin matvec_std::operator() 67 7.18906e+06 1 0.0290364
0 RoundRobin matvec_std::operator() 68 7.18906e+06 0 0.000347943
0 RoundRobin matvec_std::operator() 69 7.18906e+06 1 0.0284607
0 RoundRobin matvec_std::operator() 70 7.18906e+06 0 0.000309033
0 RoundRobin matvec_std::operator() 71 7.18906e+06 1 0.0289595
0 RoundRobin matvec_std::operator() 72 7.18906e+06 0 0.00033091
0 RoundRobin matvec_std::operator() 73 7.18906e+06 1 0.0289259
0 RoundRobin matvec_std::operator() 74 7.18906e+06 0 0.000308855
0 RoundRobin matvec_std::operator() 75 7.18906e+06 1 0.0299624
0 RoundRobin matvec_std::operator() 76 7.18906e+06 0 0.000310263
0 RoundRobin matvec_std::operator() 77 7.18906e+06 1 0.029688
0 RoundRobin matvec_std::operator() 78 7.18906e+06 0 0.000341863
0 RoundRobin matvec_std::operator() 79 7.18906e+06 1 0.0288396
0 RoundRobin matvec_std::operator() 80 7.18906e+06 0 0.000345713
0 RoundRobin matvec_std::operator() 81 7.18906e+06 1 0.036352
