rankid,training,region,idx,f0,policy,xtime
0,RoundRobin,matvec_std::operator(),0,13997521,0,0.002139536
0,RoundRobin,matvec_std::operator(),1,13997521,1,0.05029327
0,RoundRobin,matvec_std::operator(),2,13997521,0,0.002535537
0,RoundRobin,matvec_std::operator(),3,13997521,1,0.056437241
0,RoundRobin,matvec_std::operator(),4,13997521,0,0.001259244
0,RoundRobin,matvec_std::operator(),5,13997521,1,0.058218115
0,RoundRobin,matvec_std::operator(),6,13997521,0,0.001115804
0,RoundRobin,matvec_std::operator(),7,13997521,1,0.060496061
0,RoundRobin,matvec_std::operator(),8,13997521,0,0.001308418
0,RoundRobin,matvec_std::operator(),9,13997521,1,0.060212917
0,RoundRobin,matvec_std::operator(),10,13997521,0,0.001036823
0,RoundRobin,matvec_std::operator(),11,13997521,1,0.061198052
0,RoundRobin,matvec_std::operator(),12,13997521,0,0.001210977
0,RoundRobin,matvec_std::operator(),13,13997521,1,0.061108518
0,RoundRobin,matvec_std::operator(),14,13997521,0,0.001203247
0,RoundRobin,matvec_std::operator(),15,13997521,1,0.060781273
0,RoundRobin,matvec_std::operator(),16,13997521,0,0.00122525
0,RoundRobin,matvec_std::operator(),17,13997521,1,0.059963358
0,RoundRobin,matvec_std::operator(),18,13997521,0,0.001128418
0,RoundRobin,matvec_std::operator(),19,13997521,1,0.062414123
0,RoundRobin,matvec_std::operator(),20,13997521,0,0.000952654
0,RoundRobin,matvec_std::operator(),21,13997521,1,0.061904106
0,RoundRobin,matvec_std::operator(),22,13997521,0,0.001205479
0,RoundRobin,matvec_std::operator(),23,13997521,1,0.06291399
0,RoundRobin,matvec_std::operator(),24,13997521,0,0.001156886
0,RoundRobin,matvec_std::operator(),25,13997521,1,0.061925221
0,RoundRobin,matvec_std::operator(),26,13997521,0,0.001058199
0,RoundRobin,matvec_std::operator(),27,13997521,1,0.062871275
0,RoundRobin,matvec_std::operator(),28,13997521,0,0.001121293
0,RoundRobin,matvec_std::operator(),29,13997521,1,0.062359416
0,RoundRobin,matvec_std::operator(),30,13997521,0,0.001121823
0,RoundRobin,matvec_std::operator(),31,13997521,1,0.062391507
0,RoundRobin,matvec_std::operator(),32,13997521,0,0.001137445
0,RoundRobin,matvec_std::operator(),33,13997521,1,0.063004892
0,RoundRobin,matvec_std::operator(),34,13997521,0,0.001013187
0,RoundRobin,matvec_std::operator(),35,13997521,1,0.064271488
0,RoundRobin,matvec_std::operator(),36,13997521,0,0.001169116
0,RoundRobin,matvec_std::operator(),37,13997521,1,0.062999114
0,RoundRobin,matvec_std::operator(),38,13997521,0,0.000968415
0,RoundRobin,matvec_std::operator(),39,13997521,1,0.064379589
0,RoundRobin,matvec_std::operator(),40,13997521,0,0.001059968
0,RoundRobin,matvec_std::operator(),41,13997521,1,0.062881833
0,RoundRobin,matvec_std::operator(),42,13997521,0,0.00097977
0,RoundRobin,matvec_std::operator(),43,13997521,1,0.064387093
0,RoundRobin,matvec_std::operator(),44,13997521,0,0.001480549
0,RoundRobin,matvec_std::operator(),45,13997521,1,0.063324998
0,RoundRobin,matvec_std::operator(),46,13997521,0,0.000991773
0,RoundRobin,matvec_std::operator(),47,13997521,1,0.064902858
0,RoundRobin,matvec_std::operator(),48,13997521,0,0.001076448
0,RoundRobin,matvec_std::operator(),49,13997521,1,0.063504982
0,RoundRobin,matvec_std::operator(),50,13997521,0,0.000961447
0,RoundRobin,matvec_std::operator(),51,13997521,1,0.065038109
0,RoundRobin,matvec_std::operator(),52,13997521,0,0.00096729
0,RoundRobin,matvec_std::operator(),53,13997521,1,0.064012343
0,RoundRobin,matvec_std::operator(),54,13997521,0,0.000947492
0,RoundRobin,matvec_std::operator(),55,13997521,1,0.06378923
0,RoundRobin,matvec_std::operator(),56,13997521,0,0.001119274
0,RoundRobin,matvec_std::operator(),57,13997521,1,0.064187398
0,RoundRobin,matvec_std::operator(),58,13997521,0,0.00099381
0,RoundRobin,matvec_std::operator(),59,13997521,1,0.069666679
0,RoundRobin,matvec_std::operator(),60,13997521,0,0.000970636
0,RoundRobin,matvec_std::operator(),61,13997521,1,0.064249106
0,RoundRobin,matvec_std::operator(),62,13997521,0,0.001047046
0,RoundRobin,matvec_std::operator(),63,13997521,1,0.065384364
0,RoundRobin,matvec_std::operator(),64,13997521,0,0.000981788
0,RoundRobin,matvec_std::operator(),65,13997521,1,0.065148154
0,RoundRobin,matvec_std::operator(),66,13997521,0,0.001074736
0,RoundRobin,matvec_std::operator(),67,13997521,1,0.066053436
0,RoundRobin,matvec_std::operator(),68,13997521,0,0.001217506
