rankid,training,region,idx,f0,policy,xtime
0,RoundRobin,matvec_std::operator(),0,912673,0,0.000145355
0,RoundRobin,matvec_std::operator(),1,912673,1,0.003367628
0,RoundRobin,matvec_std::operator(),2,912673,0,9.9334e-05
0,RoundRobin,matvec_std::operator(),3,912673,1,0.00215511
0,RoundRobin,matvec_std::operator(),4,912673,0,9.5084e-05
0,RoundRobin,matvec_std::operator(),5,912673,1,0.002007206
0,RoundRobin,matvec_std::operator(),6,912673,0,0.000100622
0,RoundRobin,matvec_std::operator(),7,912673,1,0.001986713
0,RoundRobin,matvec_std::operator(),8,912673,0,9.9414e-05
0,RoundRobin,matvec_std::operator(),9,912673,1,0.00189686
0,RoundRobin,matvec_std::operator(),10,912673,0,9.2054e-05
0,RoundRobin,matvec_std::operator(),11,912673,1,0.001950533
0,RoundRobin,matvec_std::operator(),12,912673,0,8.9998e-05
0,RoundRobin,matvec_std::operator(),13,912673,1,0.001911438
0,RoundRobin,matvec_std::operator(),14,912673,0,9.6156e-05
0,RoundRobin,matvec_std::operator(),15,912673,1,0.00196264
0,RoundRobin,matvec_std::operator(),16,912673,0,8.9764e-05
0,RoundRobin,matvec_std::operator(),17,912673,1,0.002111588
0,RoundRobin,matvec_std::operator(),18,912673,0,9.3705e-05
0,RoundRobin,matvec_std::operator(),19,912673,1,0.002165744
0,RoundRobin,matvec_std::operator(),20,912673,0,9.1002e-05
0,RoundRobin,matvec_std::operator(),21,912673,1,0.002060151
0,RoundRobin,matvec_std::operator(),22,912673,0,9.0777e-05
0,RoundRobin,matvec_std::operator(),23,912673,1,0.002102859
0,RoundRobin,matvec_std::operator(),24,912673,0,9.6363e-05
0,RoundRobin,matvec_std::operator(),25,912673,1,0.002118646
0,RoundRobin,matvec_std::operator(),26,912673,0,9.8078e-05
0,RoundRobin,matvec_std::operator(),27,912673,1,0.002154937
0,RoundRobin,matvec_std::operator(),28,912673,0,9.8113e-05
0,RoundRobin,matvec_std::operator(),29,912673,1,0.002061506
0,RoundRobin,matvec_std::operator(),30,912673,0,9.7347e-05
0,RoundRobin,matvec_std::operator(),31,912673,1,0.002451639
0,RoundRobin,matvec_std::operator(),32,912673,0,7.7134e-05
0,RoundRobin,matvec_std::operator(),33,912673,1,0.002303736
0,RoundRobin,matvec_std::operator(),34,912673,0,9.7149e-05
0,RoundRobin,matvec_std::operator(),35,912673,1,0.002119574
0,RoundRobin,matvec_std::operator(),36,912673,0,9.4344e-05
0,RoundRobin,matvec_std::operator(),37,912673,1,0.00197279
0,RoundRobin,matvec_std::operator(),38,912673,0,9.2701e-05
0,RoundRobin,matvec_std::operator(),39,912673,1,0.001985141
0,RoundRobin,matvec_std::operator(),40,912673,0,9.7236e-05
0,RoundRobin,matvec_std::operator(),41,912673,1,0.001966979
0,RoundRobin,matvec_std::operator(),42,912673,0,6.4393e-05
0,RoundRobin,matvec_std::operator(),43,912673,1,0.001968839
0,RoundRobin,matvec_std::operator(),44,912673,0,9.9527e-05
0,RoundRobin,matvec_std::operator(),45,912673,1,0.001961396
0,RoundRobin,matvec_std::operator(),46,912673,0,7.3653e-05
0,RoundRobin,matvec_std::operator(),47,912673,1,0.001996749
0,RoundRobin,matvec_std::operator(),48,912673,0,9.5244e-05
0,RoundRobin,matvec_std::operator(),49,912673,1,0.001930781
0,RoundRobin,matvec_std::operator(),50,912673,0,9.7697e-05
0,RoundRobin,matvec_std::operator(),51,912673,1,0.00193112
0,RoundRobin,matvec_std::operator(),52,912673,0,5.6029e-05
0,RoundRobin,matvec_std::operator(),53,912673,1,0.001894939
0,RoundRobin,matvec_std::operator(),54,912673,0,9.5336e-05
0,RoundRobin,matvec_std::operator(),55,912673,1,0.001964392
0,RoundRobin,matvec_std::operator(),56,912673,0,7.3593e-05
0,RoundRobin,matvec_std::operator(),57,912673,1,0.001902621
0,RoundRobin,matvec_std::operator(),58,912673,0,9.475e-05
0,RoundRobin,matvec_std::operator(),59,912673,1,0.001937338
0,RoundRobin,matvec_std::operator(),60,912673,0,9.6009e-05
0,RoundRobin,matvec_std::operator(),61,912673,1,0.002014841
0,RoundRobin,matvec_std::operator(),62,912673,0,9.8597e-05
0,RoundRobin,matvec_std::operator(),63,912673,1,0.002218622
0,RoundRobin,matvec_std::operator(),64,912673,0,9.3564e-05
0,RoundRobin,matvec_std::operator(),65,912673,1,0.002046544
0,RoundRobin,matvec_std::operator(),66,912673,0,9.3619e-05
0,RoundRobin,matvec_std::operator(),67,912673,1,0.001976731
0,RoundRobin,matvec_std::operator(),68,912673,0,8.702e-05
0,RoundRobin,matvec_std::operator(),69,912673,1,0.001955271
0,RoundRobin,matvec_std::operator(),70,912673,0,9.7392e-05
0,RoundRobin,matvec_std::operator(),71,912673,1,0.001986848
0,RoundRobin,matvec_std::operator(),72,912673,0,9.3756e-05
0,RoundRobin,matvec_std::operator(),73,912673,1,0.001954943
0,RoundRobin,matvec_std::operator(),74,912673,0,9.2162e-05
0,RoundRobin,matvec_std::operator(),75,912673,1,0.002005468
0,RoundRobin,matvec_std::operator(),76,912673,0,8.9823e-05
0,RoundRobin,matvec_std::operator(),77,912673,1,0.001996007
0,RoundRobin,matvec_std::operator(),78,912673,0,6.1509e-05
0,RoundRobin,matvec_std::operator(),79,912673,1,0.001978325
0,RoundRobin,matvec_std::operator(),80,912673,0,9.166e-05
0,RoundRobin,matvec_std::operator(),81,912673,1,0.001996019
0,RoundRobin,matvec_std::operator(),82,912673,0,0.000100701
0,RoundRobin,matvec_std::operator(),83,912673,1,0.002093626
