rankid,training,region,idx,f0,policy,xtime
0,RoundRobin,matvec_std::operator(),0,117649,0,8.3893e-05
0,RoundRobin,matvec_std::operator(),1,117649,1,0.000511195
0,RoundRobin,matvec_std::operator(),2,117649,0,2.1218e-05
0,RoundRobin,matvec_std::operator(),3,117649,1,0.000269737
0,RoundRobin,matvec_std::operator(),4,117649,0,1.646e-05
0,RoundRobin,matvec_std::operator(),5,117649,1,0.000238585
0,RoundRobin,matvec_std::operator(),6,117649,0,4.9226e-05
0,RoundRobin,matvec_std::operator(),7,117649,1,0.000246108
0,RoundRobin,matvec_std::operator(),8,117649,0,3.6791e-05
0,RoundRobin,matvec_std::operator(),9,117649,1,0.00023735
0,RoundRobin,matvec_std::operator(),10,117649,0,5.2181e-05
0,RoundRobin,matvec_std::operator(),11,117649,1,0.000242984
0,RoundRobin,matvec_std::operator(),12,117649,0,5.2641e-05
0,RoundRobin,matvec_std::operator(),13,117649,1,0.000237912
0,RoundRobin,matvec_std::operator(),14,117649,0,6.8685e-05
0,RoundRobin,matvec_std::operator(),15,117649,1,0.000247673
0,RoundRobin,matvec_std::operator(),16,117649,0,2.1044e-05
0,RoundRobin,matvec_std::operator(),17,117649,1,0.000237677
0,RoundRobin,matvec_std::operator(),18,117649,0,5.5294e-05
0,RoundRobin,matvec_std::operator(),19,117649,1,0.000240562
0,RoundRobin,matvec_std::operator(),20,117649,0,3.4141e-05
0,RoundRobin,matvec_std::operator(),21,117649,1,0.000237318
0,RoundRobin,matvec_std::operator(),22,117649,0,1.532e-05
0,RoundRobin,matvec_std::operator(),23,117649,1,0.000240081
0,RoundRobin,matvec_std::operator(),24,117649,0,4.4994e-05
0,RoundRobin,matvec_std::operator(),25,117649,1,0.000236746
0,RoundRobin,matvec_std::operator(),26,117649,0,6.7136e-05
0,RoundRobin,matvec_std::operator(),27,117649,1,0.000239023
0,RoundRobin,matvec_std::operator(),28,117649,0,5.7558e-05
0,RoundRobin,matvec_std::operator(),29,117649,1,0.000240695
0,RoundRobin,matvec_std::operator(),30,117649,0,6.6657e-05
0,RoundRobin,matvec_std::operator(),31,117649,1,0.000237662
0,RoundRobin,matvec_std::operator(),32,117649,0,5.3251e-05
0,RoundRobin,matvec_std::operator(),33,117649,1,0.000253145
0,RoundRobin,matvec_std::operator(),34,117649,0,1.5972e-05
0,RoundRobin,matvec_std::operator(),35,117649,1,0.000243646
0,RoundRobin,matvec_std::operator(),36,117649,0,5.185e-05
0,RoundRobin,matvec_std::operator(),37,117649,1,0.000240455
0,RoundRobin,matvec_std::operator(),38,117649,0,1.6095e-05
0,RoundRobin,matvec_std::operator(),39,117649,1,0.00023735
0,RoundRobin,matvec_std::operator(),40,117649,0,4.8076e-05
0,RoundRobin,matvec_std::operator(),41,117649,1,0.000262602
0,RoundRobin,matvec_std::operator(),42,117649,0,1.6189e-05
0,RoundRobin,matvec_std::operator(),43,117649,1,0.000238632
0,RoundRobin,matvec_std::operator(),44,117649,0,4.1416e-05
0,RoundRobin,matvec_std::operator(),45,117649,1,0.000260407
0,RoundRobin,matvec_std::operator(),46,117649,0,1.5658e-05
0,RoundRobin,matvec_std::operator(),47,117649,1,0.000243169
0,RoundRobin,matvec_std::operator(),48,117649,0,5.5305e-05
0,RoundRobin,matvec_std::operator(),49,117649,1,0.000237456
0,RoundRobin,matvec_std::operator(),50,117649,0,1.6716e-05
0,RoundRobin,matvec_std::operator(),51,117649,1,0.000252823
