version,16,32,64,128,256
Offloading,47.6847,380.746,712.838,1206.2,1308.43
Offloading, , , , 1022.93,
Offloading, , , , 1030.1,
Offloading, , , , 1190.24,

CPU Threading, , , , 2322.06,


  
